PostID,Language,YearMonth,OriginalText,EnglishTranslation,Annotator1,Annotator2,FineLabel,Label3Class,Target,TargetPrimary,TargetSecondary,IncludeInAudit
POST_0482,Afan Oromo,2020-01,Konkolaataan bulchiinsaa Jimmaa keessatti odeeffannoo COVID siyaasaa paartiirraa fageessuu qaba,The administration in Jimmaa should keep COVID information away from party politics,Neutral,Political speech,Political speech,Neutral,Health/Public policy,Health,Public policy,True
POST_0153,Amharic,2020-01,ሙስሊሞች ተከታዮችና [SLUR_OROMO]ዎች በከተማው ላይ አደጋ ናቸው,Muslims and the [SLUR_OROMO] are a threat to the city,Hate speech,Hate speech,Hate speech,Hate,Religion/Public space,Religion,Public space,True
POST_0933,Amharic,2020-01,ከሚዲያ ቲዮሪ የፖለቲካ ንቃት እና ትንታኔ ባሻገር ለወሣኙ ለአማራ ብሎም ለኢትዮጵያ ህልውና ፋኖን በትጥቅና በሥንቅ ለማብቃት ምንያህል አስተዋጽኦ ተደረገ በተለይ በውጪ ሀገራት የምትኖሩ በመሠባሠብ በሁሉም ዘርፍ ፋኖን ለማጠናከር እንደሀገር ቤቱ አትቸገሩ ምክንያቱም በሀገር ቤት ተሠባሥቦ ትግሉን እንዴት እናግዝ የሚለውን አጀንዳ ገና ከአፍ ሣይወጣ በደህንነት የሥለላ መዋቅር እይታ በባንዳዎች ትልቅ አደጋ ላይ የመውደቅ ችግር ከፍተኛ በመሆኑ ነው ።,"[Condensed, faithful.] Asks how much has really been done — beyond media theory and political analysis — to equip Fano with arms and provisions for the survival of the Amhara and of Ethiopia. Urges the diaspora especially to organize and strengthen Fano in every sector, noting they face less risk than people at home, where merely gathering to ask 'how do we help the struggle' exposes one, through the security/intelligence-surveillance apparatus and 'bandas,' to grave danger.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0454,Amharic,2020-01,‘ወያኔ’ የሚለው ቃል በአዲስ አበባ የተጻፈው ፖስት ላይ ስድብ ነው ወይስ ፖለቲካዊ መለያ?,"In the post from Addis Ababa, is ‘ወያኔ’ a slur or a political label?",Ambiguous,Ambiguous,Ambiguous,,Ethnicity/Politics,Ethnicity,Politics,False
POST_0263,Afan Oromo,2020-01,Bakka uummataa amantii fi gosaan qoqqooduun sirrii miti,It is not right to divide public space by religion and ethnicity,Counter speech,Counter speech,Counter speech,Counter,,,,True
POST_0989,Amharic,2020-01,እነዚን ባሉበት ማጋየት ነበር,These ones should have been set ablaze right where they are.,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0845,Afan Oromo,2020-01,Falli jiru Gara Qabsootti Deebi.udha,"The only solution there is, is to return to the struggle.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0138,Amharic,2020-01,አማራዎች ከሙስሊሞች ጋር ተባብረው ሀገርን እያበላሹ ነው,the Amharas are teaming up with muslims to ruin the country,Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
POST_0365,Afan Oromo,2020-01,Bakka uummataa sagantaalee siyaasaa fi amantiif walqixa banaa ta'uu qaba,Public spaces should be equally open for political and religious events,Neutral,Political speech,Political speech,Neutral,Politics/Public policy,Politics,Public policy,True
POST_0522,Afan Oromo,2020-01,"Siyaasa biyya Xoophiyaa jedhamtuu kana gaafa argitu biyya walinii mitii, bakka jarrii naafxaanyaa jiran halkan tokko waliin hin dhabbattu","When you look at the politics of this so-called Ethiopia, it is not a shared country; wherever the Neftegna lot are, you wouldn't stand together with them even for a single night.",Hate speech,Hate speech,Hate speech,Hate,Ethnicity/Politics,Ethnicity,Politics,True
